word,affect,posemo,negemo,anx,anger,sad,social,family,friend,health,leisure,death
abandon,1,0,1,0,0,1,0,0,0,0,0,0
abortion,0,0,0,0,0,0,0,0,0,1,0,0
abuse,1,0,1,0,1,0,0,0,0,0,0,0
abusi,1,0,1,0,1,0,0,0,0,0,0,0
accept,1,1,0,0,0,0,0,0,0,0,0,0
accepta,1,1,0,0,0,0,0,0,0,0,0,0
accepted,1,1,0,0,0,0,0,0,0,0,0,0
accepting,1,1,0,0,0,0,0,0,0,0,0,0
accepts,1,1,0,0,0,0,0,0,0,0,0,0
ache,1,0,1,0,0,1,0,0,0,1,0,0
aching,1,0,1,0,0,1,0,0,0,1,0,0
acne,0,0,0,0,0,0,0,0,0,1,0,0
acquainta,0,0,0,0,0,0,1,0,1,0,0,0
active,1,1,0,0,0,0,0,0,0,0,0,0
actor,0,0,0,0,0,0,0,0,0,0,1,0
actress,0,0,0,0,0,0,0,0,0,0,1,0
addict,0,0,0,0,0,0,0,0,0,1,0,0
admir,1,1,0,0,0,0,0,0,0,0,0,0
admit,0,0,0,0,0,0,1,0,0,0,0,0
admits,0,0,0,0,0,0,1,0,0,0,0,0
admitted,0,0,0,0,0,0,1,0,0,0,0,0
admitting,0,0,0,0,0,0,1,0,0,0,0,0
ador,1,1,0,0,0,0,0,0,0,0,0,0
adult,0,0,0,0,0,0,1,0,0,0,0,0
adults,0,0,0,0,0,0,1,0,0,0,0,0
advantag,1,1,0,0,0,0,0,0,0,0,0,0
adventur,1,1,0,0,0,0,0,0,0,0,0,0
advers,1,0,1,0,0,0,0,0,0,0,0,0
advice,0,0,0,0,0,0,1,0,0,0,0,0
advil,0,0,0,0,0,0,0,0,0,1,0,0
advis,0,0,0,0,0,0,1,0,0,0,0,0
aerobic,0,0,0,0,0,0,0,0,0,0,1,0
affair,0,0,0,0,0,0,1,0,0,0,0,0
affection,1,1,0,0,0,0,0,0,0,0,0,0
afraid,1,0,1,1,0,0,0,0,0,0,0,0
aggravat,1,0,1,0,1,0,0,0,0,0,0,0
aggress,1,0,1,0,1,0,0,0,0,0,0,0
agitat,1,0,1,0,1,0,0,0,0,0,0,0
agoniz,1,0,1,0,0,1,0,0,0,0,0,0
agony,1,0,1,0,0,1,0,0,0,0,0,0
agree,1,1,0,0,0,0,0,0,0,0,0,0
agreeab,1,1,0,0,0,0,0,0,0,0,0,0
agreed,1,1,0,0,0,0,0,0,0,0,0,0
agreeing,1,1,0,0,0,0,0,0,0,0,0,0
agreement,1,1,0,0,0,0,0,0,0,0,0,0
agrees,1,1,0,0,0,0,0,0,0,0,0,0
aids,0,0,0,0,0,0,0,0,0,1,0,0
alarm,1,0,1,1,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,1,0,0
alive,0,0,0,0,0,0,0,0,0,1,0,1
allerg,0,0,0,0,0,0,0,0,0,1,0,0
alone,1,0,1,0,0,1,0,0,0,0,0,0
alright,1,1,0,0,0,0,0,0,0,0,0,0
amaz,1,1,0,0,0,0,0,0,0,0,0,0
