_id,entities,conversation_id,author_id,geo,lang,attachments,public_metrics,text,created_at,id,context_annotations,text1,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,token
633029307275866112,"{'hashtags': [{'start': 22, 'end': 28, 'tag': 'Adare'}, {'start': 32, 'end': 53, 'tag': 'LimerickGoingForGold'}], 'urls': [{'start': 117, 'end': 139, 'url': 'http://t.co/XKXHzLYygg', 'expanded_url': 'https://twitter.com/adaretidytowns/status/633029307275866112/photo/1', 'display_url': 'pic.twitter.com/XKXHzLYygg', 'media_key': '3_633029305400954880'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.3558, 'type': 'Organization', 'normalized_text': 'Adare Farm'}]}",633029307275866112,1448623789,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_633029305400954880']},"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Adare Farm supporting #Adare in #LimerickGoingForGold Txt GOLD ADARE to 53095 lines open from 12noon this Wednesday! http://t.co/XKXHzLYygg,2015-08-16T21:35:22.000Z,633029307275866112,,adare farm support adare limerickgoingforgold txt gold adare 53095 line open 12noon wednesday,0.4019,0.816,0.0,0.184,Positive,"['adare', 'farm', 'support', 'adare', 'limerickgoingforgold', 'txt', 'gold', 'adare', '53095', 'line', 'open', '12noon', 'wednesday']"
1514874742750261251,"{'mentions': [{'start': 21, 'end': 36, 'username': 'adaretidytowns', 'id': '1448623789'}, {'start': 98, 'end': 111, 'username': 'TLC_Limerick', 'id': '2925197386'}], 'hashtags': [{'start': 92, 'end': 97, 'tag': 'TLC7'}, {'start': 112, 'end': 118, 'tag': 'Adare'}], 'annotations': [{'start': 0, 'end': 10, 'probability': 0.4522, 'type': 'Organization', 'normalized_text': 'Adare Manor'}, {'start': 85, 'end': 89, 'probability': 0.5981, 'type': 'Place', 'normalized_text': 'Adare'}], 'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/OerzZhMTbG', 'expanded_url': 'https://twitter.com/TheAdareManor/status/1514874742750261251/photo/1', 'display_url': 'pic.twitter.com/OerzZhMTbG', 'media_key': '3_1514874728154120195'}]}",1514874742750261251,93829151,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_1514874728154120195']},"{'retweet_count': 7, 'reply_count': 0, 'like_count': 29, 'quote_count': 0}",Adare Manor team and @adaretidytowns ready for this year’s Team Limerick Clean-Up in Adare! #TLC7 @TLC_Limerick #Adare https://t.co/OerzZhMTbG,2022-04-15T07:54:18.000Z,1514874742750261251,,adare manor team adaretidytown ready year team limerick cleanup adare tlc7 tlc_limerick adare,0.3612,0.828,0.0,0.172,Positive,"['adare', 'manor', 'team', 'adaretidytown', 'ready', 'year', 'team', 'limerick', 'cleanup', 'adare', 'tlc7', 'tlc_limerick', 'adare']"
1038675384940810240,"{'urls': [{'start': 205, 'end': 228, 'url': 'https://t.co/7ueqFqtuZf', 'expanded_url': 'https://twitter.com/DraiochtAdare/status/1038675384940810240/photo/1', 'display_url': 'pic.twitter.com/7ueqFqtuZf', 'media_key': '3_1038675357560451072'}], 'hashtags': [{'start': 154, 'end': 163, 'tag': 'Irishart'}, {'start': 164, 'end': 176, 'tag': 'landscaping'}, {'start': 177, 'end': 186, 'tag': 'limerick'}, {'start': 187, 'end': 197, 'tag': 'bandstand'}, {'start': 198, 'end': 204, 'tag': 'adare'}], 'annotations': [{'start': 0, 'end': 11, 'probability': 0.4464, 'type': 'Organization', 'normalized_text': 'En Plein Air'}, {'start': 61, 'end': 73, 'probability': 0.4851, 'type': 'Person', 'normalized_text': 'Jane Hilliard'}]}",1038675384940810240,1675222543,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_1038675357560451072']},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","En Plein Air, Adare. Third placed submission by Tralee based Jane Hilliard. Painted on the day from her vantage point on the bandstand Adare Village Park #Irishart #landscaping #limerick #bandstand #adare https://t.co/7ueqFqtuZf",2018-09-09T06:28:04.000Z,1038675384940810240,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '864911475436957696', 'name': 'Home and garden', 'description': 'Home and garden'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '864913493580857344', 'name': 'Landscaping', 'description': 'Landscaping'}}]",en plein air adare place submission tralee base jane hilliard paint day vantage point bandstand adare village park irishart landscape limerick bandstand adare,0.0,1.0,0.0,0.0,Neutral,"['en', 'plein', 'air', 'adare', 'place', 'submission', 'tralee', 'base', 'jane', 'hilliard', 'paint', 'day', 'vantage', 'point', 'bandstand', 'adare', 'village', 'park', 'irishart', 'landscape', 'limerick', 'bandstand', 'adare']"
866992354779070465,"{'hashtags': [{'start': 64, 'end': 70, 'tag': 'adare'}], 'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/kLOF2QV0cX', 'expanded_url': 'https://twitter.com/GoldStarTel/status/866992354779070465/photo/1', 'display_url': 'pic.twitter.com/kLOF2QV0cX', 'media_key': '3_866992337922256900'}], 'annotations': [{'start': 0, 'end': 10, 'probability': 0.2862, 'type': 'Organization', 'normalized_text': 'Adare Manor'}]}",866992354779070465,202774289,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_866992337922256900']},"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Adare Manor coming on every time I'm here ..will be some course #adare https://t.co/kLOF2QV0cX,2017-05-23T12:20:59.000Z,866992354779070465,,adare manor come time I m course adare,0.0,1.0,0.0,0.0,Neutral,"['adare', 'manor', 'come', 'time', 'I', 'm', 'course', 'adare']"
508310526875942912,"{'annotations': [{'start': 75, 'end': 91, 'probability': 0.5978, 'type': 'Place', 'normalized_text': 'Adare Manor Hotel'}], 'urls': [{'start': 93, 'end': 115, 'url': 'http://t.co/2tUj0F8nsc', 'expanded_url': 'http://instagram.com/p/snOutxG7vl/', 'display_url': 'instagram.com/p/snOutxG7vl/'}], 'hashtags': [{'start': 40, 'end': 46, 'tag': 'adare'}, {'start': 47, 'end': 56, 'tag': 'roadtrip'}, {'start': 57, 'end': 72, 'tag': 'summerofdreams'}]}",508310526875942912,2355038665,{'place_id': '54e862bb3ff2f749'},en,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",This creep keeps following me around... #adare #roadtrip #summerofdreams @ Adare Manor Hotel http://t.co/2tUj0F8nsc,2014-09-06T17:47:28.000Z,508310526875942912,,creep keep follow adare roadtrip summerofdream adare manor hotel,0.0,1.0,0.0,0.0,Neutral,"['creep', 'keep', 'follow', 'adare', 'roadtrip', 'summerofdream', 'adare', 'manor', 'hotel']"
632977045291724800,"{'urls': [{'start': 117, 'end': 139, 'url': 'http://t.co/NTe90KeW8e', 'expanded_url': 'https://twitter.com/adaretidytowns/status/632977045291724800/photo/1', 'display_url': 'pic.twitter.com/NTe90KeW8e', 'media_key': '3_632977044134080512'}], 'hashtags': [{'start': 44, 'end': 50, 'tag': 'Adare'}, {'start': 51, 'end': 69, 'tag': 'AdareGoingForGold'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'Serendipityshoe', 'id': '147967090'}]}",632977045291724800,1448623789,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_632977044134080512']},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Serendipityshoe asking for you to VOTE for #Adare #AdareGoingForGold by Txt: GOLD ADARE to 53093 from 12noon on Wed http://t.co/NTe90KeW8e,2015-08-16T18:07:42.000Z,632977045291724800,"[{'domain': {'id': '19', 'name': 'Data Team Test', 'description': 'Domain used for data team to test and evaluate queries'}, 'entity': {'id': '10035564460', 'name': 'Cup of Nations - Comms receptor'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10037482948', 'name': 'UK Election (Vote) - geo filter needed'}}]",serendipityshoe ask vote adare adaregoingforgold txt gold adare 53093 12noon we d,0.0,1.0,0.0,0.0,Neutral,"['serendipityshoe', 'ask', 'vote', 'adare', 'adaregoingforgold', 'txt', 'gold', 'adare', '53093', '12noon', 'we', 'd']"
633031275843072001,"{'hashtags': [{'start': 29, 'end': 35, 'tag': 'Adare'}, {'start': 85, 'end': 106, 'tag': 'LimerickGoingForGold'}], 'urls': [{'start': 107, 'end': 129, 'url': 'http://t.co/EtHGJiFHPV', 'expanded_url': 'https://twitter.com/adaretidytowns/status/633031275843072001/photo/1', 'display_url': 'pic.twitter.com/EtHGJiFHPV', 'media_key': '3_633031274404388864'}]}",633031275843072001,1448623789,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_633031274404388864']},"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",The Village Fayre supporting #Adare by texting: GOLD ADARE to 53095 from 12noon Wed. #LimerickGoingForGold http://t.co/EtHGJiFHPV,2015-08-16T21:43:11.000Z,633031275843072001,,village fayre support adare texte gold adare 53095 12noon we d limerickgoingforgold,0.4019,0.787,0.0,0.213,Positive,"['village', 'fayre', 'support', 'adare', 'texte', 'gold', 'adare', '53095', '12noon', 'we', 'd', 'limerickgoingforgold']"
792695809649340420,"{'hashtags': [{'start': 19, 'end': 25, 'tag': 'adare'}, {'start': 26, 'end': 35, 'tag': 'limerick'}, {'start': 36, 'end': 43, 'tag': 'leaves'}, {'start': 44, 'end': 56, 'tag': 'lookingdown'}, {'start': 57, 'end': 65, 'tag': 'ireland'}, {'start': 66, 'end': 73, 'tag': 'autumn'}, {'start': 74, 'end': 82, 'tag': 'walkies'}], 'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/MiBBockdxi', 'expanded_url': 'https://www.instagram.com/p/BML6Lr2DP5U/', 'display_url': 'instagram.com/p/BML6Lr2DP5U/'}]}",792695809649340420,62795618,{'place_id': '54e862bb3ff2f749'},en,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Leaves and ting.
.
#adare #limerick #leaves #lookingdown #ireland #autumn #walkies @ Adare, Co.… https://t.co/MiBBockdxi",2016-10-30T11:53:03.000Z,792695809649340420,,leave ting adare limerick leave lookingdown ireland autumn walkie adare co,-0.1027,0.789,0.211,0.0,Negative,"['leave', 'ting', 'adare', 'limerick', 'leave', 'lookingdown', 'ireland', 'autumn', 'walkie', 'adare', 'co']"
1021125568979447808,"{'urls': [{'start': 124, 'end': 147, 'url': 'https://t.co/HVRL1YK9JV', 'expanded_url': 'https://twitter.com/WeddIreland/status/1021125568979447808/photo/1', 'display_url': 'pic.twitter.com/HVRL1YK9JV', 'media_key': '3_1021125557914865664'}], 'hashtags': [{'start': 0, 'end': 8, 'tag': 'flowers'}, {'start': 9, 'end': 15, 'tag': 'ATeam'}, {'start': 16, 'end': 24, 'tag': 'weekend'}, {'start': 25, 'end': 34, 'tag': 'downtime'}, {'start': 35, 'end': 49, 'tag': 'luxurywedding'}, {'start': 50, 'end': 58, 'tag': 'planner'}, {'start': 59, 'end': 65, 'tag': 'adare'}, {'start': 66, 'end': 74, 'tag': 'ireland'}, {'start': 75, 'end': 88, 'tag': 'loveweddings'}, {'start': 89, 'end': 95, 'tag': 'adare'}, {'start': 96, 'end': 112, 'tag': 'weddingplanners'}, {'start': 113, 'end': 123, 'tag': 'beautiful'}]}",1021125568979447808,25521305,{'place_id': '54e862bb3ff2f749'},und,{'media_keys': ['3_1021125557914865664']},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#flowers #ATeam #weekend #downtime #luxurywedding #planner #adare #ireland #loveweddings #adare #weddingplanners #beautiful https://t.co/HVRL1YK9JV,2018-07-22T20:11:21.000Z,1021125568979447808,"[{'domain': {'id': '13', 'name': 'Place', 'description': 'Named places in the world, like Fenway Park'}, 'entity': {'id': '855413427082219520', 'name': 'Ireland', 'description': 'Ireland'}}]",flower ateam weekend downtime luxurywedde planner adare ireland loveweddings adare weddingplanner beautiful,0.5994,0.738,0.0,0.262,Positive,"['flower', 'ateam', 'weekend', 'downtime', 'luxurywedde', 'planner', 'adare', 'ireland', 'loveweddings', 'adare', 'weddingplanner', 'beautiful']"
1458081034298331136,"{'annotations': [{'start': 27, 'end': 31, 'probability': 0.6402, 'type': 'Place', 'normalized_text': 'Adare'}, {'start': 36, 'end': 50, 'probability': 0.9574, 'type': 'Place', 'normalized_text': 'County Limerick'}], 'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/HpJiMwQi14', 'expanded_url': 'https://twitter.com/ArcImaging/status/1458081034298331136/photo/1', 'display_url': 'pic.twitter.com/HpJiMwQi14', 'media_key': '3_1458080979680210952'}, {'start': 120, 'end': 143, 'url': 'https://t.co/HpJiMwQi14', 'expanded_url': 'https://twitter.com/ArcImaging/status/1458081034298331136/photo/1', 'display_url': 'pic.twitter.com/HpJiMwQi14', 'media_key': '3_1458081004787310593'}, {'start': 120, 'end': 143, 'url': 'https://t.co/HpJiMwQi14', 'expanded_url': 'https://twitter.com/ArcImaging/status/1458081034298331136/photo/1', 'display_url': 'pic.twitter.com/HpJiMwQi14', 'media_key': '3_1458081030947102724'}], 'hashtags': [{'start': 56, 'end': 67, 'tag': 'fiercemild'}, {'start': 68, 'end': 74, 'tag': 'adare'}, {'start': 75, 'end': 87, 'tag': 'AutumnFalls'}, {'start': 88, 'end': 100, 'tag': 'Autumnvibes'}, {'start': 101, 'end': 110, 'tag': 'Limerick'}, {'start': 111, 'end': 119, 'tag': 'Ireland'}]}",1458081034298331136,3297885493,{'place_id': '54e862bb3ff2f749'},en,"{'media_keys': ['3_1458080979680210952', '3_1458081004787310593', '3_1458081030947102724']}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","The picturesque village of Adare in County Limerick 🍃🍁🍂
#fiercemild #adare #AutumnFalls #Autumnvibes #Limerick #Ireland https://t.co/HpJiMwQi14",2021-11-09T14:36:23.000Z,1458081034298331136,,picturesque village adare county limerick fiercemild adare autumnfall autumnvibe limerick ireland,0.3818,0.794,0.0,0.206,Positive,"['picturesque', 'village', 'adare', 'county', 'limerick', 'fiercemild', 'adare', 'autumnfall', 'autumnvibe', 'limerick', 'ireland']"
1502687019335659526,"{'hashtags': [{'start': 66, 'end': 83, 'tag': 'littleblueheroes'}, {'start': 84, 'end': 98, 'tag': 'Bumblebee1000'}, {'start': 99, 'end': 108, 'tag': 'Limerick'}, {'start': 109, 'end': 115, 'tag': 'Adare'}], 'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/43yjAG3Iix', 'expanded_url': 'https://twitter.com/ArcImaging/status/1502687019335659526/video/1', 'display_url': 'pic.twitter.com/43yjAG3Iix', 'media_key': '7_1502686806231371776'}], 'annotations': [{'start': 53, 'end': 57, 'probability': 0.7718, 'type': 'Place', 'normalized_text': 'Adare'}]}",1502687019335659526,3297885493,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['7_1502686806231371776']},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","🚑 Super turnout for the 2022 Bumblebee1000 drive in Adare today🚗🚔 #littleblueheroes
#Bumblebee1000 #Limerick #Adare https://t.co/43yjAG3Iix",2022-03-12T16:44:38.000Z,1502687019335659526,,super turnout 2022 bumblebee1000 drive adare today littleblueheroe bumblebee1000 limerick adare,0.5994,0.719,0.0,0.281,Positive,"['super', 'turnout', '2022', 'bumblebee1000', 'drive', 'adare', 'today', 'littleblueheroe', 'bumblebee1000', 'limerick', 'adare']"
739390309998723073,"{'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/UFHvXWTeXp', 'expanded_url': 'http://www.wildernessireland.com/blog/top-10-places-to-visit-in-ireland/', 'display_url': 'wildernessireland.com/blog/top-10-pl…'}], 'hashtags': [{'start': 111, 'end': 117, 'tag': 'adare'}, {'start': 118, 'end': 127, 'tag': 'Limerick'}], 'annotations': [{'start': 66, 'end': 84, 'probability': 0.8093, 'type': 'Place', 'normalized_text': 'Adare Self Catering'}]}",739390309998723073,2172561447,{'place_id': '54e862bb3ff2f749'},en,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",5 out for 10 top places to visit are accessible on day trips from Adare Self Catering. https://t.co/UFHvXWTeXp #adare #Limerick,2016-06-05T09:36:01.000Z,739390309998723073,,5 10 place visit accessible day trip adare self catering adare limerick,0.0,1.0,0.0,0.0,Neutral,"['5', '10', 'place', 'visit', 'accessible', 'day', 'trip', 'adare', 'self', 'catering', 'adare', 'limerick']"
631601330973450240,"{'hashtags': [{'start': 42, 'end': 63, 'tag': 'LimerickGoingForGold'}], 'urls': [{'start': 118, 'end': 140, 'url': 'http://t.co/HyBscA43FF', 'expanded_url': 'https://twitter.com/adaretidytowns/status/631601330973450240/photo/1', 'display_url': 'pic.twitter.com/HyBscA43FF', 'media_key': '3_631601327844536320'}]}",631601330973450240,1448623789,{'place_id': '54e862bb3ff2f749'},en,{'media_keys': ['3_631601327844536320']},"{'retweet_count': 19, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",Please Support Adare next Wed 19th Aug in #LimerickGoingForGold by Texting GOLD ADARE to 53095 from Midday - Midnight http://t.co/HyBscA43FF,2015-08-12T23:01:06.000Z,631601330973450240,,support adare we d 19th aug limerickgoingforgold texting gold adare 53095 midday midnight,0.4019,0.803,0.0,0.197,Positive,"['support', 'adare', 'we', 'd', '19th', 'aug', 'limerickgoingforgold', 'texting', 'gold', 'adare', '53095', 'midday', 'midnight']"
