,index,0
0,adare,568
1,farm,40
2,support,303
3,limerickgoingforgold,13
4,gold,50
5,line,104
6,open,513
7,noon,61
8,wednesday,83
9,manor,33
10,team,347
11,adaretidytown,25
12,ready,133
13,year,540
14,limerick,29280
15,clean,69
16,plein,3
17,place,656
18,submission,12
19,tralee,27
20,base,44
21,jane,5
22,hilliard,1
23,paint,32
24,vantage,1
25,point,169
26,bandstand,17
27,village,105
28,park,13324
29,irishart,9
30,landscape,67
31,come,589
32,time,653
33,course,68
34,creep,1
35,keep,90
36,follow,215
37,roadtrip,9
38,summerofdream,1
39,hotel,358
40,serendipityshoe,1
41,vote,122
42,adaregoingforgold,8
43,fayre,1
44,texte,3
45,leave,227
46,ting,1
47,lookingdown,1
48,ireland,3229
49,autumn,218
50,walkie,5
51,flower,145
52,ateam,2
53,weekend,421
54,downtime,2
55,luxurywedde,1
56,planner,3
57,loveweddings,1
58,weddingplanner,1
59,beautiful,743
60,picturesque,5
61,county,417
62,fiercemild,1
63,autumnfall,2
64,autumnvibe,4
65,super,96
66,turnout,30
67,bumblebee,24
68,drive,137
69,today,1725
70,littleblueheroe,1
71,visit,323
72,accessible,12
73,trip,63
74,self,12
75,catering,6
76,texting,1
77,midday,13
78,midnight,21
79,daybreak,1
80,bright,49
81,early,241
82,lady,125
83,penelope,1
84,text,27
85,morning,846
86,site,234
87,check,353
88,progress,28
89,recreation,17
90,community,196
91,council,179
92,weather,163
93,pitch,54
94,local,301
95,irish,268
96,little,238
97,cafe,46
98,thegoodroomadare,7
99,localfood,3
100,bialuimni,7
101,founder,2
102,nimby,1
103,mentality,2
104,need,336
105,home,308
106,affordable,3
107,lack,26
108,cooperation,1
109,appreciate,25
110,crisis,20
111,country,157
112,market,117
113,free,730
114,mairead,4
115,lena,5
116,remember,76
117,town,195
118,pleasure,12
119,step,30
120,history,129
121,amazing,229
122,building,68
123,adaremanor,32
124,heritage,94
125,peaceful,101
126,credit,65
127,union,14
128,ballybrown,8
129,survive,13
130,relegate,1
131,group,152
132,culkshc,13
133,hurling,243
134,broad,13
135,street,599
136,rare,64
137,auld,16
138,adarewalks,19
139,historicaltoursireland,18
140,jorgenhartogstourguide,18
141,therareauldtimes,15
142,colimerick,36
143,countylimerick,40
144,wildatlanticway,191
145,mywildatlanticway,16
146,wildatlanticwaylimerick,12
147,hiddenheartland,12
148,irelandsancienteast,47
149,senior,185
150,football,227
151,championship,205
152,semi,396
153,final,892
154,newcastle,96
155,west,185
156,shane,12
157,doherty,3
158,black,56
159,card,46
160,adarecottage,20
161,wire,13
162,product,37
163,monaleen,27
164,play,378
165,ballylander,49
166,newcastlew,20
167,monaleengaa,6
168,adaregaa,18
169,gaaballylander,6
170,ncwgaa,8
171,late,179
172,charlie,6
173,mccarthy,17
174,goal,89
175,seal,6
176,gate,35
177,cottage,28
178,half,280
179,kick,94
180,unanswered,1
181,lead,131
182,break,132
183,bridge,141
184,look,806
185,franciscan,2
186,abbey,39
187,augustinian,3
188,friary,3
189,nicholas,12
190,church,23
191,adareaugustinianfriary,3
192,stnicholaschurchadare,2
193,dunravenmausoleum,2
194,champion,102
195,defeat,41
196,mcmanus,547
197,owner,84
198,theadaremanor,35
199,colm,37
200,hannon,21
201,delight,112
202,announce,118
203,rydercupeurope,1
204,take,647
205,ilovelimerick,615
206,lovelimerick,646
207,lovinlimerick,140
208,whatareyoudoe,1
209,register,90
210,annual,42
211,sleep,35
212,thomand,67
213,november,63
214,special,108
215,thank,359
216,main,59
217,sponsor,27
218,event,424
219,transport,53
220,continue,74
221,sossimon,1
222,closingdoorsonhomelessness,1
223,picture,109
224,shanahan,2
225,life,176
226,soul,25
