result,count
great,117
good,50
love,38
thank,37
lovely,34
enjoy,30
support,23
fantastic,19
active,18
fun,17
free,16
win,16
award,15
nice,14
happy,11
share,8
rich,8
friend,8
thanks,8
super,7
play,7
perfect,7
fabulous,6
luck,6
well,6
interest,5
sharing,5
sure,5
special,5
gorgeous,5
ready,5
lucky,4
talent,4
proud,4
warm,4
bless,4
safe,4
delicious,4
fab,4
hope,3
care,3
entertain,3
popular,3
relax,3
wow,2
pretty,2
save,2
beloved,2
reward,2
success,2
benefit,2
vital,2
create,2
credit,2
easy,2
fine,2
wealth,2
glad,2
glory,2
grand,2
value,2
hero,2
honour,2
treat,2
tranquil,1
sunny,1
wise,1
truly,1
calm,1
strong,1
ha,1
cool,1
bright,1
bonus,1
fondly,1
gentle,1
bold,1
hug,1
smart,1
improve,1
joy,1
attract,1
peace,1
pride,1
prize,1
paradise,1
