result,count
great,45
lovely,25
free,22
love,22
good,19
fun,19
enjoy,18
honest,15
thank,14
play,11
sure,8
support,7
party,6
credit,6
nice,6
hope,6
friend,6
luck,6
perfect,5
bright,5
gorgeous,5
sunny,5
fab,5
well,4
fantastic,3
special,3
wow,3
ready,3
warm,3
fine,2
create,2
success,2
care,2
safe,2
talent,2
relax,2
pretty,2
terrific,2
cute,2
grand,2
lucky,2
easily,2
trust,2
thanks,2
interest,2
ideal,2
truly,2
super,2
happy,2
hero,2
win,1
wonderf,1
thrill,1
agreement,1
scrumptious,1
save,1
romantic,1
precious,1
okay,1
kindly,1
hopeful,1
fabulous,1
entertain,1
definitely,1
cool,1
comfort,1
cheer,1
certain,1
yay,1
