result,count
great,72
lovely,20
good,19
enjoy,18
love,15
fun,13
calm,12
win,11
free,9
hope,9
support,9
gorgeous,8
thank,8
perfect,7
sunny,7
well,7
proud,6
relax,6
fantastic,6
award,6
fine,6
play,5
nice,5
cool,5
safe,5
party,4
super,4
sure,4
tranquil,4
joy,4
wow,4
create,4
fab,4
easy,4
special,3
peace,3
fabulous,3
ready,3
friend,3
grand,3
talent,2
bless,2
bonus,2
original,2
thanks,2
save,2
rich,2
prize,2
pretty,2
popular,2
treat,2
attract,2
brave,2
accept,2
delicate,2
glad,2
active,2
cute,1
strong,1
succeed,1
bright,1
hopeful,1
delicious,1
happy,1
sweet,1
haha,1
ideal,1
benefit,1
ease,1
beloved,1
grace,1
true,1
value,1
alright,1
strength,1
improve,1
ok,1
care,1
okay,1
lucky,1
luck,1
passion,1
lover,1
confident,1
cutie,1
playing,1
pleasant,1
precious,1
kiss,1
charm,1
interest,1
certain,1
incentive,1
cheer,1
