,Word,Count
0,limerick,29280
1,park,13324
2,ireland,3229
3,people,2217
4,city,2191
5,croke,1864
6,today,1725
7,nature,1722
8,shannon,1684
9,ballyhoura,1582
10,parking,1438
11,thomond,1384
12,limerickcouncil,1375
13,great,1315
14,hurl,1298
15,quay,1284
16,river,1131
17,jeromesport,1064
18,entertainment,1061
19,walk,1028
20,arthur,969
21,lose,943
22,final,892
23,store,853
24,male,851
25,morning,846
26,good,844
27,high,829
28,lpie,815
29,humor,809
30,look,806
31,news,795
32,beautiful,743
33,free,730
34,crokepark,725
35,cork,718
36,road,709
37,clare,703
38,thomondpark,679
39,place,656
40,time,653
41,take,647
42,lovelimerick,646
43,munster,625
44,ilovelimerick,615
45,moment,614
46,room,614
47,house,606
48,street,599
49,tomorrow,598
50,come,589
51,glasgow,589
52,liam,576
53,adare,568
54,https,565
55,christmas,557
56,parkway,553
57,mcmanus,547
58,lostfoundpet,544
59,maccarthy,542
60,year,540
61,dublin,536
62,centre,536
63,dressing,532
64,loft,528
65,rapturous,527
66,open,513
67,tree,501
68,gift,492
69,castle,483
70,sunday,470
71,castletroy,462
72,evening,458
73,saturday,451
74,mungret,449
75,space,444
76,galway,436
77,corbally,434
78,area,427
79,view,426
80,limerickcitybiz,425
81,event,424
82,castletroypark,423
83,weekend,421
84,love,418
85,county,417
86,http,401
87,semi,396
88,start,394
89,photo,379
90,play,378
91,green,377
92,stop,365
93,estuary,365
94,signature,365
95,week,364
96,family,363
97,lovely,360
98,holiday,360
99,thank,359
